seed,attack_variant,feature_set,accuracy,precision,recall,f1,far,auc,tp,fp,tn,fn
42,fixed_max_action,full_features,0.9987364620938628,0.9996383363471971,0.9978339350180505,0.9987353206865403,0.00036101083032490973,0.9999668964798186,2764,1,2769,6
42,subtle_action,full_features,0.9998194945848375,0.9996391194514616,1.0,0.9998195271611623,0.00036101083032490973,1.0,2770,1,2769,0
42,probabilistic,full_features,0.9992779783393502,0.9992779783393502,0.9992779783393502,0.9992779783393502,0.0007220216606498195,0.9999988270406235,2768,2,2768,2
42,delayed_effect,full_features,0.9963898916967509,0.996031746031746,0.9967509025270758,0.9963911945146157,0.003971119133574007,0.9999151559384327,2761,11,2759,9
42,stealthy_adaptive,full_features,0.9998194945848375,0.9996391194514616,1.0,0.9998195271611623,0.00036101083032490973,1.0,2770,1,2769,0
43,fixed_max_action,full_features,0.9969314079422382,0.9949658396260338,0.9989169675090253,0.9969374887407674,0.005054151624548736,0.9998934561899673,2767,14,2756,3
43,subtle_action,full_features,0.997653429602888,0.9956850053937433,0.9996389891696751,0.9976580796252927,0.004332129963898917,0.9999968721083294,2769,12,2758,1
43,probabilistic,full_features,0.9949458483754513,0.9928109273903667,0.9971119133574007,0.9949567723342939,0.007220216606498195,0.9998889598456906,2762,20,2750,8
43,delayed_effect,full_features,0.9909747292418772,0.9881550610193827,0.9938628158844766,0.9910007199424046,0.011913357400722021,0.9978868485188129,2753,33,2737,17
43,stealthy_adaptive,full_features,0.9985559566787003,0.9992769342010123,0.9978339350180505,0.9985549132947977,0.0007220216606498195,0.9999941352031175,2764,2,2768,6
44,fixed_max_action,full_features,0.9989169675090253,0.9985569985569985,0.9992779783393502,0.9989173583543847,0.001444043321299639,0.9999924409284625,2768,4,2766,2
44,subtle_action,full_features,0.9933212996389892,0.9868186676166726,1.0,0.9933656087502242,0.013357400722021661,0.9997667765773045,2770,37,2733,0
44,probabilistic,full_features,0.9942238267148015,0.9913854989231874,0.9971119133574007,0.994240460763139,0.008664259927797834,0.9994139112982052,2762,24,2746,8
44,delayed_effect,full_features,0.9990974729241877,0.9981981981981982,1.0,0.9990982867448152,0.0018050541516245488,1.0,2770,5,2765,0
44,stealthy_adaptive,full_features,0.9839350180505415,0.9796064400715564,0.9884476534296028,0.9840071877807727,0.020577617328519857,0.9983528392133353,2738,57,2713,32
42,fixed_max_action,no_safety_indicators,0.9978339350180505,0.9989146164978292,0.9967509025270758,0.9978315865558366,0.0010830324909747292,0.9999505402129573,2761,3,2767,9
42,fixed_max_action,no_temporal_dynamics,0.998014440433213,0.9985543910372244,0.9974729241877256,0.9980133646378906,0.001444043321299639,0.9997235074091934,2763,4,2766,7
42,fixed_max_action,no_correlation_features,0.9972924187725631,0.9996372869060574,0.9949458483754513,0.9972860502985345,0.00036101083032490973,0.9999826662669916,2756,1,2769,14
42,fixed_max_action,only_statistical_summaries,0.9990974729241877,0.9996385977593061,0.9985559566787003,0.9990969839263139,0.00036101083032490973,0.9999885310638741,2766,1,2769,4
42,fixed_max_action,only_temporal_dynamics,0.9498194945848375,0.9469153515064562,0.9530685920577617,0.9499820079165168,0.053429602888086646,0.9918886600894056,2640,148,2622,130
42,fixed_max_action,only_safety_indicators,0.5234657039711191,0.5131472491909385,0.915884476534296,0.6577651024112005,0.8689530685920578,0.5563699513873502,2537,2407,363,233
43,fixed_max_action,no_safety_indicators,0.9981949458483754,0.9974765681326604,0.9989169675090253,0.9981962481962482,0.002527075812274368,0.9998665432887175,2767,7,2763,3
43,fixed_max_action,no_temporal_dynamics,0.997653429602888,0.9953287818900467,1.0,0.9976589231046281,0.004693140794223827,0.9998766437722373,2770,13,2757,0
43,fixed_max_action,no_correlation_features,0.9972924187725631,0.9946140035906643,1.0,0.9972997299729973,0.005415162454873646,0.9999441541007963,2770,15,2755,0
43,fixed_max_action,only_statistical_summaries,0.9990974729241877,0.9981981981981982,1.0,0.9990982867448152,0.0018050541516245488,0.9999913982979056,2770,5,2765,0
43,fixed_max_action,only_temporal_dynamics,0.916245487364621,0.891378139850645,0.948014440433213,0.9188243526941917,0.11552346570397112,0.9761304721813134,2626,320,2450,144
43,fixed_max_action,only_safety_indicators,0.5027075812274369,0.5013574660633484,1.0,0.6678722121760097,0.9945848375451264,0.5249045993040441,2770,2755,15,0
44,fixed_max_action,no_safety_indicators,0.9992779783393502,1.0,0.9985559566787003,0.9992774566473989,0.0,1.0,2766,0,2770,4
44,fixed_max_action,no_temporal_dynamics,0.9994584837545126,0.9992782389029231,0.9996389891696751,0.9994585814834868,0.0007220216606498195,0.9999984360541646,2769,2,2768,1
44,fixed_max_action,no_correlation_features,1.0,1.0,1.0,1.0,0.0,1.0,2770,0,2770,0
44,fixed_max_action,only_statistical_summaries,0.9996389891696751,1.0,0.9992779783393502,0.9996388587937883,0.0,0.9999998696711804,2768,0,2770,2
44,fixed_max_action,only_temporal_dynamics,0.9868231046931408,0.9753260486429327,0.9989169675090253,0.9869805600142679,0.02527075812274368,0.9988004535442921,2767,70,2700,3
44,fixed_max_action,only_safety_indicators,0.56985559566787,0.5375509411993014,1.0,0.6992300896125205,0.8602888086642599,0.6966617576144613,2770,2383,387,0
