seed,attack_variant,feature_set,accuracy,precision,recall,f1,far,auc,tp,fp,tn,fn
42,fixed_max_action,full_features,0.9826714801444043,0.9944526627218935,0.9707581227436823,0.9824625502374863,0.005415162454873646,0.9982647369312775,2689,15,2755,81
42,subtle_action,full_features,0.9911552346570397,0.9945474372955289,0.9877256317689531,0.9911247962325666,0.005415162454873646,0.9987489736605456,2736,15,2755,34
42,probabilistic,full_features,0.9870036101083033,0.9941391941391942,0.9797833935018051,0.986909090909091,0.005776173285198556,0.9993225507956575,2714,16,2754,56
42,delayed_effect,full_features,0.996028880866426,0.9963872832369942,0.9956678700361011,0.9960274467316721,0.0036101083032490976,0.9995506262299783,2758,10,2760,12
42,stealthy_adaptive,full_features,0.9911552346570397,0.9945474372955289,0.9877256317689531,0.9911247962325666,0.005415162454873646,0.9987489736605456,2736,15,2755,34
43,fixed_max_action,full_features,0.9981949458483754,0.9971181556195965,0.9992779783393502,0.998196898665705,0.002888086642599278,0.9999934835590194,2768,8,2762,2
43,subtle_action,full_features,0.9981949458483754,0.9989154013015185,0.9974729241877256,0.9981936416184971,0.0010830324909747292,0.999992962243741,2763,3,2767,7
43,probabilistic,full_features,0.9823104693140794,0.9826589595375722,0.9819494584837545,0.9823040808956301,0.017328519855595668,0.9980158740502287,2720,48,2722,50
43,delayed_effect,full_features,0.9790613718411553,0.9759684361549498,0.9823104693140794,0.9791291831594099,0.024187725631768953,0.997792425289004,2721,67,2703,49
43,stealthy_adaptive,full_features,0.9981949458483754,0.9989154013015185,0.9974729241877256,0.9981936416184971,0.0010830324909747292,0.999992962243741,2763,3,2767,7
44,fixed_max_action,full_features,0.9971119133574007,0.9971119133574007,0.9971119133574007,0.9971119133574007,0.002888086642599278,0.9997553728055885,2762,8,2762,8
44,subtle_action,full_features,0.9981949458483754,0.9985549132947977,0.9978339350180505,0.9981942939689419,0.001444043321299639,0.9999725006190618,2764,4,2766,6
44,probabilistic,full_features,0.9472924187725632,0.9743491577335375,0.9187725631768953,0.9457450761798588,0.024187725631768953,0.9847299586857641,2545,67,2703,225
44,delayed_effect,full_features,0.9963898916967509,0.9935391241923905,0.9992779783393502,0.9964002879769619,0.006498194945848376,0.9988947464452814,2768,18,2752,2
44,stealthy_adaptive,full_features,0.9981949458483754,0.9985549132947977,0.9978339350180505,0.9981942939689419,0.001444043321299639,0.9999725006190618,2764,4,2766,6
42,fixed_max_action,no_safety_indicators,0.9882671480144405,0.9966948218876239,0.9797833935018051,0.9881667576916076,0.003249097472924188,0.9986230760208005,2714,9,2761,56
42,fixed_max_action,no_temporal_dynamics,0.9857400722021661,0.9926766752105456,0.9787003610108304,0.9856389747318669,0.007220216606498195,0.99842510654381,2711,20,2750,59
42,fixed_max_action,no_correlation_features,0.9870036101083033,0.9934162399414777,0.9805054151624548,0.9869186046511628,0.006498194945848376,0.9982692332755542,2716,18,2752,54
42,fixed_max_action,only_statistical_summaries,0.9909747292418772,0.9967129291453616,0.9851985559566787,0.9909222948438635,0.003249097472924188,0.999430854044755,2729,9,2761,41
42,fixed_max_action,only_temporal_dynamics,0.9290613718411552,0.9355075119091242,0.9216606498194946,0.928532460447354,0.06353790613718412,0.9827937937416101,2553,176,2594,217
42,fixed_max_action,only_safety_indicators,0.523826714801444,0.512890625,0.948014440433213,0.6656527249683143,0.9003610108303249,0.548654159444278,2626,2494,276,144
43,fixed_max_action,no_safety_indicators,0.9983754512635379,0.9967614249730119,1.0,0.9983780861416471,0.003249097472924188,0.9999989573694431,2770,9,2761,0
43,fixed_max_action,no_temporal_dynamics,0.997653429602888,0.9960417416336812,0.9992779783393502,0.9976572355379347,0.003971119133574007,0.9999878794197761,2768,11,2759,2
43,fixed_max_action,no_correlation_features,0.9981949458483754,0.9967602591792657,0.9996389891696751,0.998197548666186,0.003249097472924188,0.9999959598065921,2769,9,2761,1
43,fixed_max_action,only_statistical_summaries,0.998014440433213,0.996044588277598,1.0,0.9980183750675554,0.003971119133574007,0.9999852728433838,2770,11,2759,0
43,fixed_max_action,only_temporal_dynamics,0.9530685920577617,0.9265805574439157,0.984115523465704,0.9544817927170869,0.0779783393501805,0.9917520103220425,2726,216,2554,44
43,fixed_max_action,only_safety_indicators,0.5101083032490975,0.5051188299817184,0.9974729241877256,0.670631067961165,0.9772563176895307,0.5566220073244796,2763,2707,63,7
44,fixed_max_action,no_safety_indicators,0.9974729241877256,0.9971139971139971,0.9978339350180505,0.997473836160231,0.002888086642599278,0.9993999661145068,2764,8,2762,6
44,fixed_max_action,no_temporal_dynamics,0.9972924187725631,0.996754417598269,0.9978339350180505,0.9972938841782428,0.003249097472924188,0.99979851164488,2764,9,2761,6
44,fixed_max_action,no_correlation_features,0.997653429602888,0.997115037865128,0.9981949458483754,0.9976546996211438,0.002888086642599278,0.999757588395522,2765,8,2762,5
44,fixed_max_action,only_statistical_summaries,0.997653429602888,0.9967567567567568,0.9985559566787003,0.9976555455365194,0.003249097472924188,0.9999575128048065,2766,9,2761,4
44,fixed_max_action,only_temporal_dynamics,0.9687725631768953,0.963915684172919,0.9740072202166065,0.9689351768719698,0.03646209386281588,0.9928524417104354,2698,101,2669,72
44,fixed_max_action,only_safety_indicators,0.5359205776173285,0.5196679185609804,0.9490974729241878,0.6716055690381914,0.8772563176895307,0.5845146554757654,2629,2430,340,141
