attack_variant,feature_set,metric,mean,std
fixed_max_action,full_features,accuracy,0.9826714801444043,0.0
fixed_max_action,full_features,precision,0.9944526627218935,0.0
fixed_max_action,full_features,recall,0.9707581227436823,0.0
fixed_max_action,full_features,f1,0.9824625502374863,0.0
fixed_max_action,full_features,far,0.005415162454873646,0.0
fixed_max_action,full_features,auc,0.9982647369312775,0.0
fixed_max_action,full_features,tp,2689.0,0.0
fixed_max_action,full_features,fp,15.0,0.0
fixed_max_action,full_features,tn,2755.0,0.0
fixed_max_action,full_features,fn,81.0,0.0
subtle_action,full_features,accuracy,0.9911552346570397,0.0
subtle_action,full_features,precision,0.9945474372955289,0.0
subtle_action,full_features,recall,0.9877256317689531,0.0
subtle_action,full_features,f1,0.9911247962325666,0.0
subtle_action,full_features,far,0.005415162454873646,0.0
subtle_action,full_features,auc,0.9987489736605456,0.0
subtle_action,full_features,tp,2736.0,0.0
subtle_action,full_features,fp,15.0,0.0
subtle_action,full_features,tn,2755.0,0.0
subtle_action,full_features,fn,34.0,0.0
probabilistic,full_features,accuracy,0.9870036101083033,0.0
probabilistic,full_features,precision,0.9941391941391942,0.0
probabilistic,full_features,recall,0.9797833935018051,0.0
probabilistic,full_features,f1,0.986909090909091,0.0
probabilistic,full_features,far,0.005776173285198556,0.0
probabilistic,full_features,auc,0.9993225507956575,0.0
probabilistic,full_features,tp,2714.0,0.0
probabilistic,full_features,fp,16.0,0.0
probabilistic,full_features,tn,2754.0,0.0
probabilistic,full_features,fn,56.0,0.0
delayed_effect,full_features,accuracy,0.996028880866426,0.0
delayed_effect,full_features,precision,0.9963872832369942,0.0
delayed_effect,full_features,recall,0.9956678700361011,0.0
delayed_effect,full_features,f1,0.9960274467316721,0.0
delayed_effect,full_features,far,0.0036101083032490976,0.0
delayed_effect,full_features,auc,0.9995506262299783,0.0
delayed_effect,full_features,tp,2758.0,0.0
delayed_effect,full_features,fp,10.0,0.0
delayed_effect,full_features,tn,2760.0,0.0
delayed_effect,full_features,fn,12.0,0.0
stealthy_adaptive,full_features,accuracy,0.9911552346570397,0.0
stealthy_adaptive,full_features,precision,0.9945474372955289,0.0
stealthy_adaptive,full_features,recall,0.9877256317689531,0.0
stealthy_adaptive,full_features,f1,0.9911247962325666,0.0
stealthy_adaptive,full_features,far,0.005415162454873646,0.0
stealthy_adaptive,full_features,auc,0.9987489736605456,0.0
stealthy_adaptive,full_features,tp,2736.0,0.0
stealthy_adaptive,full_features,fp,15.0,0.0
stealthy_adaptive,full_features,tn,2755.0,0.0
stealthy_adaptive,full_features,fn,34.0,0.0
fixed_max_action,no_safety_indicators,accuracy,0.9870036101083033,0.0
fixed_max_action,no_safety_indicators,precision,0.9970523212969786,0.0
fixed_max_action,no_safety_indicators,recall,0.9768953068592058,0.0
fixed_max_action,no_safety_indicators,f1,0.986870897155361,0.0
fixed_max_action,no_safety_indicators,far,0.002888086642599278,0.0
fixed_max_action,no_safety_indicators,auc,0.9988760442596671,0.0
fixed_max_action,no_safety_indicators,tp,2706.0,0.0
fixed_max_action,no_safety_indicators,fp,8.0,0.0
fixed_max_action,no_safety_indicators,tn,2762.0,0.0
fixed_max_action,no_safety_indicators,fn,64.0,0.0
fixed_max_action,no_temporal_dynamics,accuracy,0.9884476534296028,0.0
fixed_max_action,no_temporal_dynamics,precision,0.9941563184806428,0.0
fixed_max_action,no_temporal_dynamics,recall,0.9826714801444043,0.0
fixed_max_action,no_temporal_dynamics,f1,0.9883805374001452,0.0
fixed_max_action,no_temporal_dynamics,far,0.005776173285198556,0.0
fixed_max_action,no_temporal_dynamics,auc,0.9986225547055221,0.0
fixed_max_action,no_temporal_dynamics,tp,2722.0,0.0
fixed_max_action,no_temporal_dynamics,fp,16.0,0.0
fixed_max_action,no_temporal_dynamics,tn,2754.0,0.0
fixed_max_action,no_temporal_dynamics,fn,48.0,0.0
fixed_max_action,no_correlation_features,accuracy,0.9857400722021661,0.0
fixed_max_action,no_correlation_features,precision,0.9955801104972376,0.0
fixed_max_action,no_correlation_features,recall,0.975812274368231,0.0
fixed_max_action,no_correlation_features,f1,0.9855970829535096,0.0
fixed_max_action,no_correlation_features,far,0.004332129963898917,0.0
fixed_max_action,no_correlation_features,auc,0.9983386985364073,0.0
fixed_max_action,no_correlation_features,tp,2703.0,0.0
fixed_max_action,no_correlation_features,fp,12.0,0.0
fixed_max_action,no_correlation_features,tn,2758.0,0.0
fixed_max_action,no_correlation_features,fn,67.0,0.0
fixed_max_action,only_statistical_summaries,accuracy,0.9915162454873646,0.0
fixed_max_action,only_statistical_summaries,precision,0.9924050632911392,0.0
fixed_max_action,only_statistical_summaries,recall,0.9906137184115523,0.0
fixed_max_action,only_statistical_summaries,f1,0.9915085817524842,0.0
fixed_max_action,only_statistical_summaries,far,0.007581227436823105,0.0
fixed_max_action,only_statistical_summaries,auc,0.9994139112982054,0.0
fixed_max_action,only_statistical_summaries,tp,2744.0,0.0
fixed_max_action,only_statistical_summaries,fp,21.0,0.0
fixed_max_action,only_statistical_summaries,tn,2749.0,0.0
fixed_max_action,only_statistical_summaries,fn,26.0,0.0
fixed_max_action,only_temporal_dynamics,accuracy,0.9312274368231047,0.0
fixed_max_action,only_temporal_dynamics,precision,0.9273703041144902,0.0
fixed_max_action,only_temporal_dynamics,recall,0.935740072202166,0.0
fixed_max_action,only_temporal_dynamics,f1,0.9315363881401617,0.0
fixed_max_action,only_temporal_dynamics,far,0.07328519855595668,0.0
fixed_max_action,only_temporal_dynamics,auc,0.9849590767506418,0.0
fixed_max_action,only_temporal_dynamics,tp,2592.0,0.0
fixed_max_action,only_temporal_dynamics,fp,203.0,0.0
fixed_max_action,only_temporal_dynamics,tn,2567.0,0.0
fixed_max_action,only_temporal_dynamics,fn,178.0,0.0
fixed_max_action,only_safety_indicators,accuracy,0.5243682310469314,0.0
fixed_max_action,only_safety_indicators,precision,0.5131758735116143,0.0
fixed_max_action,only_safety_indicators,recall,0.9490974729241878,0.0
fixed_max_action,only_safety_indicators,f1,0.6661598885088053,0.0
fixed_max_action,only_safety_indicators,far,0.9003610108303249,0.0
fixed_max_action,only_safety_indicators,auc,0.5353702641765173,0.0
fixed_max_action,only_safety_indicators,tp,2629.0,0.0
fixed_max_action,only_safety_indicators,fp,2494.0,0.0
fixed_max_action,only_safety_indicators,tn,276.0,0.0
fixed_max_action,only_safety_indicators,fn,141.0,0.0
